id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm;
"617238,""Stylish Apartment with Large, Covered Balcony"",1852795,Jenny,Ward 115,-33.91553,18.41893,Entire home/apt,960,5,47,2024-04-30,0.33,3,205,1";
"636290,""Colourful Loft with Free Wi-fi, Parking and gym"",2516345,Jaco,Ward 115,-33.91129,18.41617,Entire home/apt,1275,1,8,2023-01-06,0.07,80,363,0";
218269,Spacious Heritage Cottage in the City-Safe&Cosy,255784,Don & Jaco,Ward 115,-33.93153,18.40756,Entire home/apt,599,2,110,2024-06-18,0.71,11,365,15;
"650049,""Luxury loft,Table Mountain Views,no load shedding!"",2824970,Claire,Ward 115,-33.91789,18.41844,Entire home/apt,1132,2,270,2024-06-22,2.06,1,332,28";
231402,Braeside House Loft Apartment,1209960,Stuart,Ward 115,-33.90974,18.40512,Entire home/apt,1650,3,100,2024-02-06,0.65,2,253,2;
653488,Tasteful Twin Bedroom in Upmarket Location.,3006485,Gordon,Ward 115,-33.91129,18.41452,Private room,1100,2,17,2024-03-05,0.13,2,365,2;
"255987,""Bellevue Manor Guest House, SEA POINT, CAPE TOWN"",1345936,Gary,Ward 54,-33.91478,18.39179,Private room,581,3,71,2024-03-04,0.92,8,364,24";
659419,Self catering 3 bedrooms 3 bathrooms,3326652,Fabrizio,Ward 4,-33.85342,18.49401,Entire home/apt,1751,1,60,2024-06-16,0.76,11,286,9;
"275876,""Kloof Street Cottage, huge deck & panoramic views"",1441807,Martin,Ward 77,-33.93284,18.40775,Entire home/apt,1265,2,145,2019-07-26,0.96,1,90,0";
660090,Separate entrance 2 bedrooms 2 bathrooms flat,3326652,Fabrizio,Ward 4,-33.85363,18.49401,Entire home/apt,1167,1,10,2024-01-05,0.11,11,251,1;
660099,One bedroom apartment,3326652,Fabrizio,Ward 4,-33.85363,18.49401,Entire home/apt,564,1,13,2024-03-12,0.21,11,164,4;
282586,Cottage de la Mer with Private Terrace and Dream Pool,1384294,Patrick,Ward 54,-33.92649,18.38291,Entire home/apt,2627,4,50,2024-04-21,0.43,2,309,12;
"667072,""Private, secure with great views and simple style."",3374257,Diana,Ward 74,-34.04356,18.36675,Entire home/apt,1200,2,43,2024-06-03,0.33,2,359,7";
282606,Sun Room,77323658,Andries,Ward 59,-33.99628,18.46864,Private room,292,5,50,2024-05-28,0.36,4,176,7;
"668544,""Llandudno Beachway Apartment, steps from the beach"",3384207,Brenda,Ward 74,-34.00744,18.34365,Entire home/apt,2500,4,45,2024-04-01,0.35,1,295,7";
283053,Braeside House Main Apartment,1209960,Stuart,Ward 115,-33.90974,18.40512,Entire home/apt,1550,3,66,2023-02-27,0.43,2,185,0;
669623,Chic 3 Bedroom Townhouse,2758015,Mario,Ward 112,-33.82666,18.63682,Entire home/apt,2950,2,11,2023-03-06,0.09,1,294,0;
286894,SPOIL YOURSELF IN STYLE and COMFORT,1492767,Paul,Ward 54,-33.92169952392578,18.383554458618164,Entire home/apt,829,5,45,2024-06-21,0.30,2,129,21;
287211,Spacious three storied home  Cape town,1494208,Fiona,Ward 77,-33.93456,18.40321,Entire home/apt,2000,2,25,2024-05-02,0.20,1,88,3;
672103,Magical manor house,3408518,Marc,Ward 71,-34.04267,18.42773,Entire home/apt,6500,10,9,2022-01-06,0.06,1,205,0;
675177,501 New Cumberland - Stunning Beachfront Penthouse,2516345,Jaco,Ward 115,-33.90066,18.40431,Entire home/apt,3292,1,23,2024-05-15,0.24,80,133,1;
"291205,""Sevensleepers"" Holiday Apartment,1512563,Hanne,Ward 71,-34.07088,18.45068,Entire home/apt,907,3,22,2024-04-16,0.16,1,305,4";
